id,title,client,ministry,company,period,amount,amount_billion,share,role,status,trainees,trainees_unit,satisfaction,consortium,achievements,highlight,tags,show_in_projects
keris-2026-leading-teacher,2026 인공지능 활용 선도교사 연수,KERIS,교육부,엘리스그룹,2026.04 (제안),"1,594백만 원",15.94,17% 협력 (6자 컨소시엄),컨소시엄 R&R 설계,우선협상대상자 선정,,,,건국대학교 (주관) | 비상교육 | 창비교육 | 엘리스그룹 | KT CS | 아이코어이앤씨,"6자 컨소시엄 R&R 시안 설계 및 협력기관 간 지분 조정안 도출 | 비목별 예산 산출(중위수 기준 1,594백만 원 모델) | 권역 분할 전략 및 4권역 → 6권역 전환 대응 | 공모 신청서 양식 초안 작성",6개 기관의 R&R과 지분을 조율한 거버넌스 초안이 우선협상대상자 선정으로 이어짐,컨소시엄 거버넌스 | 예산 모델링 | RFP 분석 | 교원연수,
kosac-2026-aidonghaeng,2026 AI동행 프로젝트,KOSAC,과학기술정보통신부,엘리스그룹,2026.04 ~ 2026.12,"480,000,000원",4.8,80% 주관기관,총괄 PM,수주,,,,,Agent AI 분과 전국 학생 대상 교육 프로그램 운영 | 해커톤·데모데이 진행 과업 사업 제안 및 총괄 | 프로그램 기획·강사 네트워크·운영 체계 설계,Agent AI를 키워드로 한 정부 발주 사업의 80% 주관기관 PM,Agent AI | 총괄 PM | 학생교육 | 해커톤,
kice-2026-ai-assistant,AI보조교사 서비스 모델 및 실증 프로토타입 개발,KICE (한국교육과정평가원),교육부,엘리스그룹,2026.03 ~ 2026.08,"246,000,000원",2.46,주관기관,제안 PL,수주,,,,,ISMP 기반 AI보조교사 서비스 모델 설계 | 교육과정 편제·시간표·학사일정 관리 자동화 모델 구상 | 제안서 작성 및 발표,교육행정 혁신을 지원하는 ISMP 기반 AI보조교사 모델 개발 사업 수주,AI보조교사 | ISMP | 교육행정 | 제안 PL,
incheon-ai-fusion-2025,2025 디지털 기반 교육혁신 교원 역량강화 직무연수 위탁 운영,인천광역시교육청AI융합교육원,시도교육청,엘리스그룹,2025.10 ~ 2026.01,18억 원,18,25% 협력사 (제안 PM),제안 PM (수주 후 협력사 운영),운영 완료,400,,,,"컨소시엄 구성 및 소통, 제안 작업 및 수주 진행 (제안 PM 역할) | 에듀테크 활용 연수(집합) 1~4기 총 200명 운영 체계 설계 | AI융합 STEAM 숙박형 전문연수 기초·심화과정 200명 과업 운영",제안 단계 PM으로 컨소시엄을 이끌어 18억 사업 수주,에듀테크 | AI융합 STEAM | 제안 PM | 교원연수,
keris-2025-touch-teacher,2025 터치교사단 양성연수,KERIS,교육부,엘리스그룹,2025.12 ~ 2026.03,"303,258,000원",3.03,주관기관,PM (4권역),운영 완료,512,,4.67,,선도교사 중 희망자 275명 대상 후속전문연수 운영 | 237명 대상 활동지원 연수 운영 | 3개 성장경로(현장연구·동료코칭·연수전문가) 클래스 모집 및 일정 관리 | 전문 강사 섭외 및 Gen AI 기반 콘텐츠 활용,"최종 만족도 4.67 달성, 부산 거점 오피스 팀 운영",선도교사 | Gen AI | PM | 교원연수,
keris-2025-ai-leading-teacher,2025 AI 디지털 기반 교육혁신 선도교사 양성연수,KERIS,교육부,엘리스그룹,2025.05 ~ 2025.10,"909,010,000원",9.09,50% 주관기관 (3자 컨소시엄),PM,운영 완료,1216,,4.65,,"부산·울산·경남 4권역 초중등 교원 1,216명 대상 원격·집합연수 | AI 디지털 협업 도구 활용 수업 설계 + 학생 사회정서성장 교육 | 교육부 선도교사 사업 제안 및 운영 PM","9억 규모 50% 주관 사업 PM, 1,216명 대상 만족도 4.65 달성",선도교사 | 원격연수 | 집합연수 | 주관기관,
kosac-2025-school-consulting,2025 찾아가는 학교 컨설팅 사업,KOSAC,과학기술정보통신부,엘리스그룹,2025.04 ~ 2026.03,18억 원,18,45% 주관기관 (3자 컨소시엄),PL,운영 완료,134,개교,4.67,,"전국 3개 권역 130개교 대상 디지털 전환 종합 컨설팅 | 총 134개 학교 모집(목표 초과 달성) | 학교 대상 컨설팅 교원 섭외 및 리더 교원 주도 커리큘럼 제안 | 사업 제안서 및 발표자료 작성, 과업협상 진행","목표 130개교 → 실적 134개교(103%) 달성, 만족도 4.67",디지털 전환 컨설팅 | PL | 주관기관 | 전국 사업,
kosac-2025-digital-tutor,2025 디지털튜터양성센터 경상권2,KOSAC,과학기술정보통신부,엘리스그룹,2025.04 ~ 2025.12,3.6억 원,3.6,70% 주관기관,PL,운영 완료,,,,,"공교육 AI/디지털 전환 대비 디지털튜터 양성 프로그램 개발 | 강사 네트워크 소통 및 운영계획 수립 | 사업 제안서 및 발표자료 작성, 과업협상",70% 지분 주관기관으로 디지털튜터 양성 프로그램 PL 수행,디지털튜터 | PL | 주관기관 | 프로그램 개발,
busan-2025-three-projects,부산광역시 디지털 기반 수업혁신 역량강화 교원연수 (3개 사업),"부산광역시 해운대·북부 교육지원청, 부산교육연구정보원",시도교육청,엘리스그룹,2024.12 ~ 2025.02,총 19.7억 원 (7.1억·7.6억·5억),19.7,50~70% 주관기관,운영 PL,운영 완료,,,,,AIDT 도입 대비 부산광역시 초등·고등·특수 교원 대상 거점형 연수 | 사업 제안서 작성·발표·기술협상 진행 | 컨소시엄 구성 및 협력업체 소통 | 온라인 교육 플랫폼 활용 수강 신청 및 원격연수 진행,"3개 시도교육청 사업 동시 PL, 주관기관 지분 50~70%, 누적 19.7억",AIDT | 초·고·특수 | 주관기관 | 거점연수,
keris-2025-q1-classroom-revolution,2024 하반기 교실혁명 선도교사 양성연수,KERIS,교육부,엘리스그룹,2025.01 ~ 2025.03,"246,000,000원",2.46,100% 단독사업,PM,운영 완료,300,,,,AIDT 도입 대비 대전충청권 교원 대상 AI·디지털 활용 연수 | 대전·세종·충북·충남권 초중등 교원 약 300여명 거점형 집합연수 운영,단독사업 단독 PM 수행,선도교사 | 단독사업 | PM | AIDT,
kpf-ai-literacy,한국언론진흥재단 AI 리터러시 커리큘럼 개발 (2개년),KPF (한국언론진흥재단),문화체육관광부,엘리스그룹,2024.05 ~ 2025.12,"총 250,000,000원 (24년 5천만, 25년 중등 1억·고등 1억)",2.5,주관기관,수주 PM (2회 연속),운영 완료,,,,,국제표준에 맞는 미디어 리터러시 및 AI 리터러시 교육 콘텐츠 개발 | 온라인 교육 플랫폼 기반 콘텐츠 활용 제안 | 교사연수 및 학교 대상 운영,"동일 발주처 2년 연속 수주, 사업 규모 5천만 → 2억으로 4배 확대",AI 리터러시 | 콘텐츠 개발 | 2회 연속 수주,
keris-2024-classroom-revolution,2024 교실혁명 선도교사 양성연수,KERIS,교육부,엘리스그룹,2024.06 ~ 2024.08,총 7억 원 (주관기관 지분 약 4.5억),7,주관기관,운영,운영 완료,800,,4.4,,"AIDT 도입 대비 전국 초중등 교원 대상 AI·디지털 활용 연수 사업 기획·수주 | 서울·인천, 경기남부·북부, 부울경 3개 권역 원격·집합연수 운영 | 총 800여명 선도교사 양성 | 2024 교실혁명 컨퍼런스 AIDT 체험부스 운영","전국 3개 권역 800명 선도교사 양성, AIDT 컨퍼런스 부스 운영",선도교사 | AIDT | 전국 사업 | 컨퍼런스,
keris-2024-ai-teaching,AI 기반 교수학습역량강화 초·중등 교원연수 실습 지원 위탁 운영,KERIS,교육부,엘리스그룹,2024.05 ~ 2024.12,"790,000,000원",7.9,초등 협력기관 / 중등 주관기관,제안 및 수주,운영 완료,,,,,AIDT 프로토타입 실습용 콘텐츠 개발 | 통합 활용 플랫폼 개발 관련 제안 및 수주 | 초등 부문 협력기관·중등 부문 주관기관 동시 참여,"초·중등 동시 참여, AIDT 프로토타입 실습 플랫폼 개발",AIDT 실습 | 통합 플랫폼 | 초·중등 | 교원연수,
incheon-aidt-2024,초중등 AIDT 실습 및 적용 교원연수 위탁 운영,인천광역시교육과학정보원,시도교육청,엘리스그룹,2024.10 ~ 2025.02,초등 20억 / 중등 10억 = 30억,30,25% 협력사,제안 및 운영 지원,운영 완료,,,,,학교로 찾아가는 연수 + 거점형 교원연수 60개교 대상 사업 제안 | 컨소시엄 구성 및 소통 | 주 2회 이상 정기 협의회 및 제안 실무,30억 규모 컨소시엄 25% 협력사 역할로 정책 방향·현장 수요 조정,AIDT | 찾아가는 연수 | 거점연수 | 협력사,
asia-platek-smartschool,평택시 스마트스쿨 운영 용역 (3개년 연속 수주),평택시,기초자치단체,아시아교육협회,2021 ~ 2023,"3개년 누적 372,000,000원 (21년 1억·22년 2,200만·23년 2.5억)",3.72,주관기관,사업 PM,운영 완료,300,,,,"지역아동센터 기반 취약계층 아동 300명 대상 멘토링 사업 기획 | 태블릿PC 기반 AI 코스웨어 제공업체와 협업, 학습기기·콘텐츠 연계 | 지역 멘토(대학생·마을교사) 모집 및 LMS 활용·진단평가 멘토 교육 | 멘티 사전·사후 진단평가, 만족도 조사, 멘토 FGI 분석한 연구·결과보고서 작성","3년 연속 수주, 첫 해 만족도 데이터가 다음 해 추가 발주의 근거",K-12 격차해소 | AI 코스웨어 | 멘토링 | 3년 연속,
asia-gyeongin-mentoring,경인교대 AI 튜터 활용 맞춤형 학습 멘토링 (2개년),경기도교육청 (경인교대 발주),시도교육청,아시아교육협회,2개년,2개년 사업,,주관기관,사업 PM,운영 완료,500,,,,경기도 초등 3~4학년 500명 대상 비대면 온라인 멘토링 | 경인교대 재학생 멘토 100명 현장 오리엔테이션 및 LMS 교육 | 코스웨어 제공업체와 학생 진단평가 콘텐츠 구축 | 학생·멘토·학부모 대상 사전·사후 설문조사 수행,초등 500명 + 사범대생 멘토 100명 비대면 운영 설계,AI 튜터 | 비대면 멘토링 | 사범대 협업,
asia-daejeon-seogu,대전 서구청 서람이 AI학습코칭사업 (2개년),대전 서구청,기초자치단체,아시아교육협회,2개년,2개년 사업,,주관기관,사업 PM,운영 완료,40,,,,"지역아동센터 10개소 약 40명 저소득층 초등학생 대상 온라인 멘토링 | 목원대학교와 업무협약(MOU)으로 사범대 재학생 멘토 활용 | AI 활용 교육기기 지급, 멘토 관리, LMS 교육, 학습데이터 분석","지자체-대학 산학 MOU 체결, 산학 파트너십 모델 구축",산학 MOU | K-12 격차해소 | AI 교육기기,
